eleicao;Fiscal;Atlantis;AT2
eleicao;Prefeito;Atlantis;EmpSem
eleicao;Vereador;Atlantis;AT1
eleicao;Fiscal;Cidadela;CD2
eleicao;Prefeito;Cidadela;EmpAgr
eleicao;Vereador;Cidadela;CD1
rodada 1
imposto;prefeito EmpSem;EmpSem;1.5
imposto;prefeito EmpAgr;EmpFer;10.0
imposto;prefeito EmpSem;EmpMaq;10.0
imposto;prefeito EmpAgr;EmpAgr;10.0
imposto;prefeito EmpSem;AT1;3.0
imposto;prefeito EmpAgr;CD1;10.0
imposto;prefeito EmpSem;AT2;10.0
imposto;prefeito EmpAgr;CD2;10.0
imposto;prefeito EmpSem;AT3;10.0
imposto;prefeito EmpAgr;CD3;10.0
